id,time,date_precision,latitude,longitude,loc_precision,place,cause,deaths,tier,notes
hanze-2000,1946-10-11T12:00:00Z,day,41.15,20.17,country,Albania (AL011;AL012;AL013;AL015;AL021;AL022;AL031;AL033;AL034;AL035),river flood — Heavy rainfall,15,hanze,HANZE v3.0.1b id 2000; end 1946-11-15; persons affected n/a
hanze-2001,1953-12-12T12:00:00Z,day,41.15,20.17,country,Albania (AL014;AL015),flash flood — Extreme rainfall,5,hanze,HANZE v3.0.1b id 2001; end 1953-12-12; persons affected n/a
hanze-2002,1960-11-07T12:00:00Z,day,41.15,20.17,country,Albania (AL022;AL032;AL035),flash flood — Extreme rainfall,4,hanze,HANZE v3.0.1b id 2002; end 1960-11-07; persons affected n/a
hanze-2003,1962-11-15T12:00:00Z,day,41.15,20.17,country,Albania (AL011;AL012;AL013;AL014;AL015;AL021;AL022;AL031;AL032;AL033;),river flood — Heavy rainfall,9,hanze,HANZE v3.0.1b id 2003; end 1962-11-16; persons affected n/a
hanze-2532,1968-12-17T12:00:00Z,day,41.15,20.17,country,Albania (AL015),flash flood — Extreme rainfall,0,hanze,HANZE v3.0.1b id 2532; end 1968-12-17; persons affected n/a
hanze-2004,1970-12-01T12:00:00Z,day,41.15,20.17,country,Albania (AL012;AL015;AL021;AL022;AL031;AL032;AL034;AL035),river flood — Heavy rainfall,0,hanze,HANZE v3.0.1b id 2004; end 1971-01-01; persons affected n/a
hanze-2005,1972-09-16T12:00:00Z,day,41.15,20.17,country,Albania (AL013),flash flood — Extreme rainfall,2,hanze,HANZE v3.0.1b id 2005; end 1972-09-16; persons affected n/a
hanze-2006,1973-11-07T12:00:00Z,day,41.15,20.17,country,Albania (AL012;AL014;AL015),flash flood — Extreme rainfall,0,hanze,HANZE v3.0.1b id 2006; end 1973-11-08; persons affected n/a
hanze-2007,1976-06-08T12:00:00Z,day,41.15,20.17,country,Albania (AL021),flash flood — Extreme rainfall,3,hanze,HANZE v3.0.1b id 2007; end 1976-06-08; persons affected n/a
hanze-2008,1976-06-30T12:00:00Z,day,41.15,20.17,country,Albania (AL031),flash flood — Extreme rainfall,2,hanze,HANZE v3.0.1b id 2008; end 1976-06-30; persons affected n/a
hanze-2009,1976-10-31T12:00:00Z,day,41.15,20.17,country,Albania (AL012;AL013;AL014;AL022;AL035),flash flood — Extreme rainfall,1,hanze,HANZE v3.0.1b id 2009; end 1976-10-31; persons affected 2040
hanze-2010,1976-12-04T12:00:00Z,day,41.15,20.17,country,Albania (AL013;AL015;AL033;AL035),flash flood — Extreme rainfall,2,hanze,HANZE v3.0.1b id 2010; end 1976-12-05; persons affected n/a
hanze-2584,1978-03-21T12:00:00Z,day,41.15,20.17,country,Albania (AL012;AL014;AL022),river flood — Heavy rainfall,0,hanze,HANZE v3.0.1b id 2584; end 1978-03-22; persons affected n/a
hanze-2585,1978-05-02T12:00:00Z,day,41.15,20.17,country,Albania (AL012;AL014;AL015;AL021;AL022),river flood — Heavy rainfall,0,hanze,HANZE v3.0.1b id 2585; end 1978-05-02; persons affected n/a
hanze-2011,1979-07-02T12:00:00Z,day,41.15,20.17,country,Albania (AL034),flash flood — Extreme rainfall,4,hanze,HANZE v3.0.1b id 2011; end 1979-07-02; persons affected n/a
hanze-2012,1979-11-17T12:00:00Z,day,41.15,20.17,country,Albania (AL012;AL014;AL015;AL022;AL032;AL033;AL035),river flood — Heavy rainfall,1,hanze,HANZE v3.0.1b id 2012; end 1979-11-20; persons affected 1300
hanze-2586,1979-01-25T12:00:00Z,day,41.15,20.17,country,Albania (AL012;AL014;AL015;AL021;AL022),river flood — Heavy rainfall,0,hanze,HANZE v3.0.1b id 2586; end 1979-02-04; persons affected n/a
hanze-2647,1980-05-20T12:00:00Z,day,41.15,20.17,country,Albania (AL032),river flood — Heavy rainfall,0,hanze,HANZE v3.0.1b id 2647; end 1980-05-20; persons affected n/a
hanze-2013,1981-10-24T12:00:00Z,day,41.15,20.17,country,Albania (AL012;AL021;AL022;AL031;AL032;AL033;AL035),river flood — Heavy rainfall,9,hanze,HANZE v3.0.1b id 2013; end 1981-10-24; persons affected 11000
hanze-2014,1985-11-19T12:00:00Z,day,41.15,20.17,country,Albania (AL012;AL022),river flood — Heavy rainfall,0,hanze,HANZE v3.0.1b id 2014; end 1985-11-22; persons affected 900
hanze-2648,1985-01-06T12:00:00Z,day,41.15,20.17,country,Albania (AL014;AL032),river flood — Heavy rainfall,0,hanze,HANZE v3.0.1b id 2648; end 1985-01-14; persons affected 760
hanze-2015,1992-11-17T12:00:00Z,day,41.15,20.17,country,Albania (AL011;AL012;AL013;AL014;AL015),river flood — Heavy rainfall (3 days),11,hanze,HANZE v3.0.1b id 2015; end 1992-11-19; persons affected 28000
