id,time,date_precision,latitude,longitude,loc_precision,place,cause,deaths,tier,notes
missoula-pleistocene,-016000-01-01T00:00:00Z,millennium,47.0,-117.0,region,"Channeled Scablands, WA/ID/MT, USA",ice-dam outburst,,paleo,"Multiple events ~15-18 ka; peak ~17e6 m3/s (Glacial Lake Missoula)"
kuray-altai,-016000-01-01T00:00:00Z,millennium,50.0,88.0,region,"Altai Mountains, Russia",ice-dam outburst,,paleo,"Peak ~18e6 m3/s — largest known freshwater flood"
darkhat-altai,-016000-01-01T00:00:00Z,millennium,51.0,99.0,region,"Darkhat/Jassater/Yaloman/Ulymon, Mongolia-Altai",ice-dam outburst,,paleo,"Peaks 1.9-4e6 m3/s"
bonneville,-016000-01-01T00:00:00Z,millennium,42.0,-112.0,region,"Lake Bonneville, NW USA",lake-basin overflow,,paleo,"Peak ~1e6 m3/s"
lake-regina,-016000-01-01T00:00:00Z,millennium,50.5,-104.6,region,"Laurentide margin, Canada/USA",ice-dam outburst,,paleo,"Lake Regina and related margin floods"
agassiz,-007900-01-01T00:00:00Z,millennium,54.0,-97.0,region,"Lake Agassiz, Alberta/Canada",glacial lake overflow,,paleo,"~9,900 BP; peaks to ~1.2e6 m3/s"
jokulsa-fjollum,-007000-01-01T00:00:00Z,millennium,65.7,-16.4,region,"Jokulsa a Fjollum, Iceland",subglacial volcanic,,paleo,"Peak ~0.7e6 m3/s"
atna,-015000-01-01T00:00:00Z,millennium,61.5,-149.0,region,"Glacial Lake Atna, Alaska",ice-dam outburst,,paleo,"~17 ka; Matanuska/Susitna"
zanclean,-05300000-01-01T00:00:00Z,millennium,36.0,-5.6,region,"Strait of Gibraltar",Mediterranean refill,,paleo,"~5.3 Ma; the largest modelled flood on Earth"
black-sea-deluge,-006200-01-01T00:00:00Z,millennium,42.0,29.0,region,"Black Sea / Bosphorus",marine inflow (debated),,paleo,"~7.6-8.8 ka; hypothesis, contested"
jishi-gorge,-001920-01-01T00:00:00Z,century,35.8,102.9,point,"Jishi Gorge, Yellow River, Qinghai, China",landslide-dam outburst,,ancient,"Linked by some to the legendary Great Flood / Xia origin"
yellow-river-602bce,-000602-01-01T00:00:00Z,year,35.0,114.0,region,"Lower Yellow River, China",avulsion/breach,,ancient,"First major recorded course change; 1,593+ breaches counted 602 BCE-1940s"
rhone-175bce,-000175-01-01T00:00:00Z,century,43.7,4.6,city,"Arles, Rhone, France",river flood,,ancient,"Destroyed the southern quarters"
yellow-river-11ce,0011-01-01T00:00:00Z,year,35.0,114.0,region,"Lower Yellow River, China",course change,,ancient,
