id,time,mag,lat,lon,place,depth,jd,site_chart,lon:Ascendant,retro:Ascendant,nak:Ascendant,pada:Ascendant,lon:Sun,retro:Sun,nak:Sun,pada:Sun,band:Sun,lon:Moon,retro:Moon,nak:Moon,pada:Moon,band:Moon,lon:Mars,retro:Mars,nak:Mars,pada:Mars,band:Mars,lon:Mercury,retro:Mercury,nak:Mercury,pada:Mercury,band:Mercury,lon:Jupiter,retro:Jupiter,nak:Jupiter,pada:Jupiter,band:Jupiter,lon:Venus,retro:Venus,nak:Venus,pada:Venus,band:Venus,lon:Saturn,retro:Saturn,nak:Saturn,pada:Saturn,band:Saturn,lon:Rahu,retro:Rahu,nak:Rahu,pada:Rahu,band:Rahu,lon:Ketu,retro:Ketu,nak:Ketu,pada:Ketu,band:Ketu,lon:Uranus,retro:Uranus,nak:Uranus,pada:Uranus,band:Uranus,lon:Neptune,retro:Neptune,nak:Neptune,pada:Neptune,band:Neptune,lon:Pluto,retro:Pluto,nak:Pluto,pada:Pluto,rlon:Uranus,rband:Uranus,rlon:Neptune,rband:Neptune,rlon:Jupiter,rband:Jupiter,rlon:Saturn,rband:Saturn,stack_max,mkm_spread,vyuha,band_trigger,rules_fired,n_contacts,contacts
ecuador-colombia-1906,1906-01-31T15:36:00Z,0,1.0,-81.5,Offshore Ecuador-Colombia,,2417242.15,True,348.9387,False,Revathy,1,288.3514,False,Sravana,3,23,8.8824,False,Aswini,3,1,334.1955,False,Uthra Badra,1,26,274.5625,False,Uthrashada,3,22,34.0758,False,Kritika,3,3,285.0326,False,Sravana,2,23,310.0767,False,Satabhisa,2,25,118.9736,False,Ashlesha,4,10,298.9736,False,Dhanishta,2,24,253.8643,False,Poorvashada,1,20,75.5534,True,Rudra,3,6,58.3232,True,Mirgasirsa,2,271.7206,22,104.6452,9,37.4121,3,317.9439,25,2,69.909,none,none,,8,rsep:Neptune-Venus@opp=0.387; sep:Mercury-Jupiter@tri=0.487; sep:Uranus-Neptune@opp=1.689; rsep:Uranus-Jupiter@tri=2.355; rsep:Saturn-Neptune@tri=2.391; rsep:Jupiter-Saturn@sq=2.665; rsep:Uranus-Mercury@conj=2.842; rsep:Jupiter-Mercury@tri=2.85
messina-1908,1908-12-28T05:20:00Z,0,38.2,15.6,"Strait of Messina, Italy",,2418303.722222,True,243.8141,False,Moola,2,253.5489,False,Poorvashada,1,20,316.8964,False,Satabhisa,4,25,208.8885,False,Visaka,3,17,255.8877,False,Poorvashada,1,20,141.977,False,Pura,3,12,224.1274,False,Anuradha,4,18,341.3342,False,Uthra Badra,3,27,62.7313,False,Mirgasirsa,3,5,242.7313,False,Moola,1,19,263.7918,False,Poorvashada,4,21,83.3384,True,Punarvasu,2,7,61.9888,True,Mirgasirsa,3,281.6481,22,112.4302,9,145.3134,12,349.2014,28,2,108.008,none,none,,7,sep:Uranus-Neptune@opp=0.453; rsep:Jupiter-Uranus@tri=1.522; sep:Jupiter-Uranus@tri=1.815; sep:Sun-Saturn@sq=2.215; sep:Sun-Mercury@conj=2.339; sep:Moon-Venus@sq=2.769; sep:Venus-Saturn@tri=2.793
haiyuan-1920,1920-12-16T12:05:00Z,0,36.6,105.3,"Haiyuan, Ningxia/Gansu, China",,2422675.003472,True,96.6812,False,Pusyam,2,241.5324,False,Moola,1,19,307.7713,False,Satabhisa,1,24,291.886,False,Sravana,4,23,224.7464,False,Anuradha,4,18,145.6205,False,Pura,4,12,282.0832,False,Sravana,1,22,151.7166,False,Uthra,2,12,191.0871,False,Swathy,2,15,11.0871,False,Aswini,4,1,309.5606,False,Satabhisa,1,25,110.7663,True,Ashlesha,2,9,75.3443,True,Rudra,3,327.4169,26,139.8581,11,148.9568,12,159.5838,13,2,79.201,none,none,,10,sep:Sun-Saturn@sq=0.184; sep:Rahu-Venus@sq=0.996; sep:Ketu-Venus@sq=0.996; sep:Mars-Neptune@opp=1.12; sep:Rahu-Uranus@tri=1.526; sep:Moon-Uranus@conj=1.789; rsep:Uranus-Jupiter@opp=1.796; rsep:Saturn-Venus@tri=2.499; rsep:Jupiter-Sun@sq=2.576; rsep:Jupiter-Saturn@conj=2.76
atacama-1922,1922-11-11T00:00:00Z,0,-28.5,-70.5,"Atacama, Chile",,2423369.5,True,40.208,False,Rohini,1,205.0608,False,Visaka,2,16,98.3239,False,Pusyam,2,8,285.1337,False,Sravana,2,23,190.4029,False,Swathy,2,15,190.5038,False,Swathy,2,15,226.2587,True,Anuradha,4,18,172.335,False,Hasta,4,14,154.2828,False,Uthra,3,12,334.2828,False,Uthra Badra,1,26,316.9878,True,Satabhisa,4,25,115.3896,False,Ashlesha,3,9,78.2389,True,Rudra,4,334.844,27,144.4813,12,193.8402,16,180.2022,15,2,173.19,none,none,,8,sep:Mercury-Jupiter@conj=0.101; sep:Sun-Neptune@sq=0.329; rsep:Uranus-Rahu@opp=0.561; rsep:Uranus-Ketu@conj=0.561; sep:Venus-Uranus@sq=0.729; rsep:Jupiter-Mars@sq=1.293; sep:Moon-Mercury@sq=2.079; sep:Moon-Jupiter@sq=2.18
kanto-1923,1923-09-01T02:58:00Z,0,35.3,139.5,"Kanto (Tokyo-Yokohama), Japan",,2423663.623611,True,221.7082,False,Anuradha,3,134.8833,False,Pura,1,11,18.4787,False,Bharani,2,2,127.2863,False,Magha,3,10,161.8937,False,Hasta,1,13,200.5562,False,Visaka,1,16,132.3515,False,Magha,4,11,174.9226,False,Chitra,1,14,138.6939,False,Pura,2,11,318.6939,False,Satabhisa,4,25,323.1631,True,P.Badra,1,26,115.8867,False,Ashlesha,3,10,79.2165,False,Rudra,4,341.0193,27,144.9785,12,203.8926,16,182.7898,15,3,168.592,none,none,,9,sep:Moon-Rahu@tri=0.215; rsep:Jupiter-Uranus@tri=0.729; rsep:Uranus-Mercury@opp=0.874; rsep:Neptune-Uranus@opp=1.815; sep:Ketu-Jupiter@tri=1.862; rsep:Jupiter-Neptune@sq=1.994; sep:Moon-Jupiter@opp=2.078; sep:Sun-Venus@conj=2.532; sep:Jupiter-Uranus@tri=2.607
gulang-1927,1927-05-22T00:00:00Z,0,37.4,102.8,"Gulang/Xining, Gansu/Qinghai, China",,2425022.5,True,68.0362,False,Rudra,1,37.0922,False,Kritika,4,3,278.6741,False,Uthrashada,4,22,87.8515,False,Punarvasu,3,7,39.3771,False,Kritika,4,4,334.9216,False,Uthra Badra,1,27,78.1946,False,Rudra,4,7,221.8233,True,Anuradha,3,18,66.6801,False,Rudra,1,6,246.6801,False,Moola,3,20,339.7138,False,Uthra Badra,2,27,121.4573,False,Magha,1,10,81.4813,False,Punarvasu,1,357.57,28,150.549,12,338.258,27,229.6905,18,2,190.823,none,none,,11,rsep:Uranus-Mars@sq=0.281; sep:Moon-Mercury@tri=0.703; rsep:Jupiter-Uranus@conj=1.456; rsep:Jupiter-Rahu@sq=1.578; rsep:Jupiter-Ketu@sq=1.578; sep:Sun-Moon@tri=1.582; sep:Rahu-Jupiter@sq=1.759; sep:Ketu-Jupiter@sq=1.759; sep:Saturn-Uranus@tri=2.11; sep:Sun-Mercury@conj=2.285; sep:Mercury-Saturn@opp=2.446
sanriku-1933,1933-03-02T00:00:00Z,0,39.2,144.5,"Offshore Sanriku, Japan",,2427133.5,True,18.188,False,Bharani,2,318.0566,False,Satabhisa,4,25,21.5315,False,Bharani,3,2,137.8382,True,Pura,2,11,335.0429,False,Uthra Badra,1,27,146.3039,True,Pura,4,12,305.2522,False,Dhanishta,4,24,288.0342,False,Sravana,3,23,314.8106,False,Satabhisa,3,25,134.8106,False,Pura,1,11,358.1879,False,Revathy,4,28,135.8582,True,Pura,1,11,88.4964,True,Punarvasu,3,16.0441,2,164.95,13,149.6402,12,295.9015,24,3,116.307,none,none,neptune-on-ketu nodes-doubly-occupied,9,rsep:Uranus-Neptune@tri=0.186; sep:Sun-Mars@opp=0.218; sep:Rahu-Neptune@opp=1.048; sep:Ketu-Neptune@conj=1.048; rsep:Uranus-Ketu@tri=1.233; rsep:Uranus-Mars@tri=1.794; sep:Mars-Neptune@conj=1.98; rsep:Uranus-Saturn@sq=1.99; sep:Sun-Neptune@opp=2.198
quetta-1935,1935-05-30T00:00:00Z,0,30.0,66.9,"Quetta, Pakistan (then British India)",,2427952.5,True,29.1276,False,Kritika,1,44.7254,False,Rohini,2,4,15.2076,False,Bharani,1,2,163.9806,False,Hasta,2,13,67.2038,False,Rudra,1,6,203.003,True,Visaka,1,16,87.4617,False,Punarvasu,3,7,316.7493,False,Satabhisa,4,25,271.4134,False,Uthrashada,2,22,91.4134,False,Punarvasu,4,8,10.5993,False,Aswini,4,1,138.8757,False,Pura,2,11,91.4024,False,Punarvasu,4,28.4555,3,167.9675,14,206.3393,17,324.6165,26,1,148.773,none,none,,7,sep:Sun-Mars@tri=0.745; rsep:Jupiter-Venus@tri=1.122; rsep:Saturn-Jupiter@tri=1.614; sep:Sun-Saturn@sq=2.024; sep:Saturn-Neptune@opp=2.126; rsep:Saturn-Venus@tri=2.845; rsep:Uranus-Rahu@tri=2.958
unimak-1946,1946-04-01T00:00:00Z,0,53.5,-163.0,"Unimak Island, Aleutians, Alaska, USA",,2431911.5,True,120.15,False,Magha,1,347.5774,False,Revathy,1,28,331.3125,False,P.Badra,4,26,88.331,False,Punarvasu,3,7,337.4189,True,Uthra Badra,2,27,180.9521,True,Chitra,3,15,1.9265,False,Aswini,1,1,84.9146,False,Punarvasu,2,7,61.6152,False,Mirgasirsa,3,5,241.6152,False,Moola,1,19,51.0265,False,Rohini,4,4,164.0724,True,Hasta,2,13,106.3909,True,Pusyam,4,68.8828,6,193.1642,16,184.2884,15,92.7818,8,2,206.716,none,none,,13,sep:Moon-Rahu@sq=0.303; sep:Moon-Ketu@sq=0.303; sep:Ketu-Venus@tri=0.311; sep:Rahu-Jupiter@tri=0.663; rsep:Saturn-Venus@sq=0.855; sep:Venus-Jupiter@opp=0.974; rsep:Uranus-Mercury@sq=1.464; rsep:Saturn-Moon@tri=1.469; rsep:Saturn-Jupiter@sq=1.83; rsep:Jupiter-Venus@opp=2.362; sep:Mars-Jupiter@sq=2.621; rsep:Jupiter-Rahu@tri=2.673
ashgabat-1948,1948-10-05T20:12:00Z,0,37.9,58.4,"Ashgabat, Turkmenistan",,2432830.341667,True,101.0045,False,Pusyam,3,169.3703,False,Hasta,3,14,210.1415,False,Visaka,4,17,208.8151,False,Visaka,3,17,192.0193,False,Swathy,2,15,239.7985,False,Jyestha,4,19,126.1225,False,Magha,2,10,128.7158,False,Magha,3,11,12.931,False,Aswini,4,2,192.931,False,Swathy,2,16,67.4815,False,Rudra,1,6,169.6006,False,Hasta,3,14,112.9763,False,Ashlesha,2,85.3377,7,198.6923,16,243.1349,19,136.583,11,2,17.21,none,none,,6,sep:Sun-Neptune@conj=0.23; sep:Rahu-Mercury@opp=0.912; sep:Ketu-Mercury@conj=0.912; sep:Moon-Mars@conj=1.326; sep:Venus-Saturn@conj=2.593; rsep:Jupiter-Venus@tri=2.988
