id,time,date_precision,latitude,longitude,loc_precision,place,cause,deaths,tier,notes
damghan-856,0856-12-22T00:00:00Z,day,36.2,54.4,region,"Damghan, Iran",earthquake,200000,pre-instrumental,"Est. Mw ~7.9; location macroseismic"
ardabil-893,0893-03-23T00:00:00Z,day,38.2,48.3,region,"Ardabil, Iran",earthquake,150000,pre-instrumental,"High intensity; magnitude unconstrained"
aleppo-1138,1138-10-11T00:00:00Z,day,36.1,37.1,region,"Aleppo, Syria",earthquake,180000,pre-instrumental,"Est. Mw ~7.1; 130,000-230,000 deaths"
chihli-1290,1290-09-01T00:00:00Z,month,39.7,116.8,region,"Chihli (Hebei), China",earthquake,100000,pre-instrumental,"September 1290; day not recorded"
hongdong-1303,1303-07-25T00:00:00Z,day,36.3,111.7,region,"Hongdong, Shanxi, China",earthquake,200000,pre-instrumental,"Est. Mw ~8.0"
shaanxi-1556,1556-01-23T00:00:00Z,day,34.5,109.7,region,"Huaxian, Shaanxi, China",earthquake,830000,pre-instrumental,"DEADLIEST ON RECORD; est. Mw ~8.0; loess cave collapses"
sicily-1693,1693-01-11T00:00:00Z,day,37.1,15.0,region,"Southeastern Sicily, Italy",earthquake,60000,pre-instrumental,"High intensity"
cascadia-1700,1700-01-26T00:00:00Z,day,45.0,-125.0,region,"Cascadia subduction zone, USA/Canada (offshore)",earthquake,,pre-instrumental,"Est. Mw 8.7-9.2; dated by the Japanese orphan tsunami; sparse local deaths recorded"
lisbon-1755,1755-11-01T00:00:00Z,day,36.5,-10.0,region,"Offshore Lisbon, Portugal",earthquake,65000,pre-instrumental,"Est. Mw 8.5-9.0; quake + tsunami + fire; morning"
calabria-1783,1783-02-04T00:00:00Z,day,38.3,15.9,region,"Calabria, Italy",earthquake,50000,pre-instrumental,"High intensity"
new-madrid-1811,1811-12-16T00:00:00Z,day,36.6,-89.6,region,"New Madrid, Missouri, USA",earthquake,,pre-instrumental,"Series Dec 1811-Feb 1812; est. Mw 7.5-7.7 each; few deaths, sparse population"
sumatra-1833,1833-11-25T00:00:00Z,day,-3.5,101.0,region,"Offshore Sumatra, Indonesia",earthquake,,pre-instrumental,"Est. Mw 8.8-9.2"
ecuador-colombia-1906,1906-01-31T15:36:00Z,minute,1.0,-81.5,point,"Offshore Ecuador-Colombia",earthquake,,largest,"Mw 8.8"
atacama-1922,1922-11-11T00:00:00Z,day,-28.5,-70.5,region,"Atacama, Chile",earthquake,,largest,"Mw 8.5"
sanriku-1933,1933-03-02T00:00:00Z,day,39.2,144.5,point,"Offshore Sanriku, Japan",earthquake,3000,largest,"Mw 8.4"
